               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.058157,            0.010905,            0.010202,             0.75451,             0.99597,             0.95552,             0.62496,            0.039451,           0.0055382,           0.0040354,           0.0079804,           0.0079804,           0.0079804
                 104,            0.058398,           0.0090533,           0.0085258,             0.75451,             0.99597,             0.95552,             0.62496,            0.039451,           0.0055382,           0.0040354,           0.0079606,           0.0079606,           0.0079606
                 105,            0.052993,           0.0091688,            0.010407,             0.73046,               0.975,             0.94257,             0.72862,            0.037301,           0.0053908,           0.0039148,           0.0079408,           0.0079408,           0.0079408
                 106,            0.050944,            0.010809,            0.008883,             0.86096,                   1,             0.91466,             0.54478,            0.036928,           0.0054439,           0.0038303,            0.007921,            0.007921,            0.007921
                 107,            0.052144,            0.009937,           0.0079149,             0.76028,             0.96554,              0.9346,             0.40769,            0.041439,           0.0055586,           0.0038201,           0.0079012,           0.0079012,           0.0079012
                 108,            0.059788,            0.012451,           0.0098817,             0.76028,             0.96554,              0.9346,             0.40769,            0.041439,           0.0055586,           0.0038201,           0.0078814,           0.0078814,           0.0078814
                 109,            0.054896,             0.01078,           0.0082547,              0.7535,                   1,             0.95193,             0.49415,            0.037856,           0.0053126,           0.0038425,           0.0078616,           0.0078616,           0.0078616
                 110,            0.053986,            0.011102,           0.0078282,             0.88236,                   1,               0.995,             0.44907,            0.033824,           0.0051373,           0.0038154,           0.0078418,           0.0078418,           0.0078418
                 111,            0.054045,           0.0086316,             0.01021,             0.79509,                   1,              0.9581,             0.55412,            0.035004,           0.0051769,           0.0038505,            0.007822,            0.007822,            0.007822
                 112,            0.050086,            0.011513,           0.0074697,             0.79509,                   1,              0.9581,             0.55412,            0.035004,           0.0051769,           0.0038505,           0.0078022,           0.0078022,           0.0078022
                 113,            0.049392,           0.0084615,           0.0075735,             0.90267,                   1,             0.96405,             0.56984,            0.032692,           0.0050602,           0.0039077,           0.0077824,           0.0077824,           0.0077824
                 114,            0.050324,           0.0098145,           0.0083939,             0.89147,                   1,             0.99148,             0.60179,             0.03392,           0.0051945,           0.0037688,           0.0077626,           0.0077626,           0.0077626
                 115,            0.054132,           0.0093458,            0.007741,             0.50383,                   1,             0.88525,             0.34655,            0.040706,            0.005278,            0.003743,           0.0077428,           0.0077428,           0.0077428
                 116,             0.05936,           0.0090292,           0.0074048,             0.50383,                   1,             0.88525,             0.34655,            0.040706,            0.005278,            0.003743,            0.007723,            0.007723,            0.007723
                 117,             0.05743,           0.0098985,           0.0072091,             0.55023,                   1,             0.91982,             0.51194,             0.03769,           0.0051239,           0.0036419,           0.0077032,           0.0077032,           0.0077032
                 118,            0.050298,           0.0097372,           0.0078185,             0.98938,                   1,               0.995,             0.61386,             0.03159,           0.0046877,           0.0035615,           0.0076834,           0.0076834,           0.0076834
                 119,            0.050988,           0.0095015,            0.013374,             0.91458,             0.99456,             0.99273,             0.61029,            0.033751,           0.0050299,           0.0040793,           0.0076636,           0.0076636,           0.0076636
                 120,            0.053081,            0.010883,            0.007957,             0.91458,             0.99456,             0.99273,             0.61029,            0.033751,           0.0050299,           0.0040793,           0.0076438,           0.0076438,           0.0076438
                 121,            0.048895,           0.0096892,           0.0089919,             0.69077,                0.95,              0.9667,             0.66115,            0.034617,           0.0050953,           0.0059257,            0.007624,            0.007624,            0.007624
                 122,            0.048206,           0.0092794,            0.017407,             0.99482,                   1,               0.995,             0.76481,            0.029097,           0.0048939,           0.0037949,           0.0076042,           0.0076042,           0.0076042
                 123,            0.045992,           0.0089903,            0.007714,             0.65988,             0.95144,             0.90571,             0.66809,            0.034762,           0.0052766,            0.012566,           0.0075844,           0.0075844,           0.0075844
                 124,            0.053129,           0.0095002,            0.010741,             0.65988,             0.95144,             0.90571,             0.66809,            0.034762,           0.0052766,            0.012566,           0.0075646,           0.0075646,           0.0075646
                 125,            0.046813,           0.0089175,           0.0092906,             0.63514,             0.74732,             0.88782,             0.63317,            0.033609,           0.0052657,             0.02897,           0.0075448,           0.0075448,           0.0075448
                 126,            0.045811,           0.0088244,            0.011978,             0.96744,             0.95133,               0.995,             0.68253,            0.030691,            0.005007,           0.0052829,            0.007525,            0.007525,            0.007525
